indikator,satuan,jenis_tanaman,tahun,nilai,kategori_nilai
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1991,15954467,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1992,48240009,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1992,2826361,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1992,45413648,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1992,7995459,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1992,326750,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1992,739050,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1992,1869713,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1992,2171036,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1992,16515855,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1993,48181087,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1993,2622154,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1993,45558933,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1993,6459737,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1993,322316,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1993,638708,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1993,1708528,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1993,2088205,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1993,17285385,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1994,46641524,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1994,2682343,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1994,43959181,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1994,6868885,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1994,256549,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1994,631971,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1994,1564847,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1994,1845178,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1994,15729232,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1995,49744140,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1995,2938468,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1995,46805672,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1995,8245902,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1995,325342,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1995,760148,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1995,1680007,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1995,2171027,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1995,15441481,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1996,51101506,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1996,2913251,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1996,48188255,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1996,9307423,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1996,301421,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1996,737815,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1996,1517181,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1996,2017516,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1996,17002455,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1997,49377054,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1997,2785180,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1997,46591874,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1997,8770851,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1997,261707,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1997,688345,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1997,1356891,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1997,1847492,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1997,15134021,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1998,49236692,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1998,2753889,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1998,46482803,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1998,10169488,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1998,306095,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1998,692357,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1998,1305640,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1998,1935044,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1998,14696203,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1999,50866387,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1999,2665251,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1999,48201136,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1999,9204036,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1999,265126,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1999,659586,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1999,1382848,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1999,1665547,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1999,16458544,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",2000,51898852,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",2000,2691651,"Angka Tetap"
