nama_perusahaan,komoditas,satuan,tahun,nilai
"Barisan Tropical Mining, PT","Gold","kg",2007,
"Barisan Tropical Mining, PT","Silver","kg",2007,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2007,
"Newmont Nusa Tenggara, PT","Copper","ton",2007,
"Newmont Nusa Tenggara, PT","Gold","kg",2007,
"Newmont Nusa Tenggara, PT","Silver","kg",2007,
"Nusa Halmahera Minerals, PT","Gold","kg",2007,
"Nusa Halmahera Minerals, PT","Silver","kg",2007,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2007,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2007,
"Galuh Cempaka, PT","Diamond","crt",2007,
"Galuh Cempaka, PT","Gold","kg",2007,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2008,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2008,
"Aneka Tambang Tbk, PT","Gold","kg",2008,
"Aneka Tambang Tbk, PT","Silver","kg",2008,
"Aneka Tambang Tbk, PT","Bauxite","mt",2008,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2008,
"Timah Tbk, PT","Tin metal","ton",2008,747
"Freeport Indonesia, PT","Copper","ton",2008,216761
"Freeport Indonesia, PT","Gold","kg",2008,15216
"Freeport Indonesia, PT","Silver","kg",2008,58392
"Koba Tin, PT","Tin metal","ton",2008,
"International Nickel Ind, PT","Nickel","ton",2008,
"Gunung Kikara Mining, PT","Tin metal","ton",2008,
"Karimun Granite, PT","Granite","ton",2008,
"Lusang Mining, PT","Gold","kg",2008,
"Lusang Mining, PT","Silver","kg",2008,
"Ampalit Mas Perdana, PT","Gold","kg",2008,
"Ampalit Mas Perdana, PT","Silver","kg",2008,
"Monterado Mas Mining, PT","Gold","kg",2008,
"Monterado Mas Mining, PT","Silver","kg",2008,
"Prima Lirang Mining, PT","Gold","kg",2008,
"Prima Lirang Mining, PT","Silver","kg",2008,
"Kelian Equatorial Mining, PT","Gold","kg",2008,
"Kelian Equatorial Mining, PT","Silver","kg",2008,
"Indo Muro Kencana, PT","Gold","kg",2008,
"Indo Muro Kencana, PT","Silver","kg",2008,
"Newmont Minahasa Raya, PT","Gold","kg",2008,
"Newmont Minahasa Raya, PT","Silver","kg",2008,
"Barisan Tropical Mining, PT","Gold","kg",2008,
"Barisan Tropical Mining, PT","Silver","kg",2008,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2008,
"Newmont Nusa Tenggara, PT","Copper","ton",2008,
"Newmont Nusa Tenggara, PT","Gold","kg",2008,
"Newmont Nusa Tenggara, PT","Silver","kg",2008,
"Nusa Halmahera Minerals, PT","Gold","kg",2008,
"Nusa Halmahera Minerals, PT","Silver","kg",2008,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2008,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2008,
"Galuh Cempaka, PT","Diamond","crt",2008,
"Galuh Cempaka, PT","Gold","kg",2008,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2009,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2009,
"Aneka Tambang Tbk, PT","Gold","kg",2009,
"Aneka Tambang Tbk, PT","Silver","kg",2009,
"Aneka Tambang Tbk, PT","Bauxite","mt",2009,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2009,
"Timah Tbk, PT","Tin metal","ton",2009,
"Freeport Indonesia, PT","Copper","ton",2009,240782
"Freeport Indonesia, PT","Gold","kg",2009,29776
"Freeport Indonesia, PT","Silver","kg",2009,70397
"Koba Tin, PT","Tin metal","ton",2009,
"International Nickel Ind, PT","Nickel","ton",2009,
"Gunung Kikara Mining, PT","Tin metal","ton",2009,
"Karimun Granite, PT","Granite","ton",2009,
"Lusang Mining, PT","Gold","kg",2009,
"Lusang Mining, PT","Silver","kg",2009,
"Ampalit Mas Perdana, PT","Gold","kg",2009,
"Ampalit Mas Perdana, PT","Silver","kg",2009,
"Monterado Mas Mining, PT","Gold","kg",2009,
"Monterado Mas Mining, PT","Silver","kg",2009,
"Prima Lirang Mining, PT","Gold","kg",2009,
"Prima Lirang Mining, PT","Silver","kg",2009,
"Kelian Equatorial Mining, PT","Gold","kg",2009,
"Kelian Equatorial Mining, PT","Silver","kg",2009,
"Indo Muro Kencana, PT","Gold","kg",2009,
"Indo Muro Kencana, PT","Silver","kg",2009,
"Newmont Minahasa Raya, PT","Gold","kg",2009,
"Newmont Minahasa Raya, PT","Silver","kg",2009,
"Barisan Tropical Mining, PT","Gold","kg",2009,
"Barisan Tropical Mining, PT","Silver","kg",2009,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2009,
